sampleID,reads.in,reads.out,no.chim
CJawa_SA_So_07,99309,64073,28706
CJawa_SA_So_08,115540,65872,29232
CJawa_SA_So_09,72875,47587,19520
CJawa_SA_So_10,98706,60049,26602
Red_SA_Fr_01,70451,49948,41488
Red_SA_Fr_02,63540,46440,35780
Red_SA_Fr_03,83755,60826,49844
Red_SA_Fr_04,63486,44643,37989
Red_SA_Fr_05,53752,39340,30713
Red_SA_Fr_06,81105,56990,44971
Red_SA_Fr_07,78097,58221,38672
Red_SA_Fr_08,70313,50202,42092
Red_SA_Fr_09,70183,47468,37257
Red_SA_Fr_10,53547,37712,26104
Red_SA_Le_01,65228,47950,36175
Red_SA_Le_02,92707,66746,52510
Red_SA_Le_03,75430,54716,35943
Red_SA_Le_04,72100,54048,36767
Red_SA_Le_05,76924,57755,47476
Red_SA_Le_06,89706,63979,49476
Red_SA_Le_07,76985,53244,41995
Red_SA_Le_08,60765,44831,36340
Red_SA_Le_09,77729,54325,46444
Red_SA_Le_10,76029,52848,43196
Red_SA_Pn_01,62663,44084,34052
Red_SA_Pn_02,77973,57277,44626
Red_SA_Pn_03,69371,48699,39412
Red_SA_Pn_04,78197,54172,44294
Red_SA_Pn_05,78833,54488,41046
Red_SA_Pn_06,77421,53548,39205
Red_SA_Pn_07,74302,55233,47237
Red_SA_Pn_08,75566,53628,40534
Red_SA_Pn_09,76844,52924,39544
Red_SA_Pn_10,72919,50580,32487
Red_SA_So_01,104096,56663,33729
Red_SA_So_02,98006,56908,34836
Red_SA_So_03,92350,54186,32516
Red_SA_So_04,109116,64953,38377
Red_SA_So_05,131789,76210,42412
Red_SA_So_06,104620,57831,35481
Red_SA_So_07,104155,61161,38781
Red_SA_So_08,99959,63406,38980
Red_SA_So_09,89656,50854,29048
Red_SA_So_10,80940,51554,34461
Sem_SA_Fr_01,58954,42650,36814
Sem_SA_Fr_02,67769,49095,40114
Sem_SA_Fr_03,98277,70482,60565
Sem_SA_Fr_04,100103,72383,60392
Sem_SA_Fr_05,60058,42355,35522
Sem_SA_Fr_06,65297,46128,38561
Sem_SA_Fr_07,51813,40116,31442
Sem_SA_Fr_08,64355,48051,38935
Sem_SA_Fr_09,62216,43032,36322
Sem_SA_Fr_10,84147,60316,50347
Sem_SA_Le_01,101747,73081,60380
Sem_SA_Le_02,46653,33831,28535
Sem_SA_Le_03,76621,54271,43417
Sem_SA_Le_04,64056,46327,35824
Sem_SA_Le_05,79090,57345,48435
Sem_SA_Le_06,67788,47359,38764
Sem_SA_Le_07,65707,47365,39298
Sem_SA_Le_08,113391,79776,62806
Sem_SA_Le_09,63136,44562,32830
Sem_SA_Le_10,59764,42151,34696
Sem_SA_Pn_01,61468,41816,34100
Sem_SA_Pn_02,55953,41042,33262
Sem_SA_Pn_03,71864,52100,41890
Sem_SA_Pn_04,56610,41351,29554
Sem_SA_Pn_05,73250,50680,42096
Sem_SA_Pn_06,85607,60102,48019
Sem_SA_Pn_07,54005,37997,30715
Sem_SA_Pn_08,76900,55166,45181
Sem_SA_Pn_09,60279,40721,33514
Sem_SA_Pn_10,52079,38924,28932
Sem_SA_So_01,123286,72513,29323
Sem_SA_So_02,128645,78964,31680
Sem_SA_So_03,92754,56363,22220
Sem_SA_So_04,102504,60494,25339
Sem_SA_So_05,116331,76489,30810
Sem_SA_So_06,109142,64615,25721
Sem_SA_So_07,101708,67626,28373
Sem_SA_So_08,143099,90958,41691
Sem_SA_So_09,140190,78505,32291
Sem_SA_So_10,81962,51025,18613
TBali_SA_Fr_01,90580,63966,51668
TBali_SA_Fr_02,62947,43639,36014
TBali_SA_Fr_03,63951,45663,33400
TBali_SA_Fr_04,75956,54051,43495
TBali_SA_Fr_05,76456,55355,44167
TBali_SA_Fr_06,69288,47578,35469
TBali_SA_Fr_07,79103,55494,44757
TBali_SA_Fr_08,68374,50616,41102
TBali_SA_Fr_09,68728,49083,42176
TBali_SA_Fr_10,64566,44983,39974
TBali_SA_Le_01,84674,62193,49695
TBali_SA_Le_02,84718,58333,49782
TBali_SA_Le_03,80562,55068,47096
TBali_SA_Le_04,76806,53672,46031
TBali_SA_Le_05,66794,49707,42879
TBali_SA_Le_06,70671,50564,43427
TBali_SA_Le_07,51028,37694,33282
TBali_SA_Le_08,71146,51027,44750
TBali_SA_Le_09,53992,33721,27178
TBali_SA_Le_10,71635,51503,42274
TBali_SA_Pn_01,78626,55237,44421
TBali_SA_Pn_02,73472,53994,44567
TBali_SA_Pn_03,86125,60283,48604
TBali_SA_Pn_04,82712,58973,46834
TBali_SA_Pn_05,70858,49949,42798
TBali_SA_Pn_06,71014,47721,38610
TBali_SA_Pn_07,73789,51209,38253
TBali_SA_Pn_08,77281,52609,39646
TBali_SA_Pn_09,73990,50107,42290
TBali_SA_Pn_10,73016,49976,40535
TBali_SA_So_01,105894,59750,36872
TBali_SA_So_02,89097,53318,35753
TBali_SA_So_03,105833,64134,38953
TBali_SA_So_04,93882,51421,29318
TBali_SA_So_05,107433,59719,34306
TBali_SA_So_06,104205,65904,42566
TBali_SA_So_07,112043,68850,38494
TBali_SA_So_08,78684,46681,29112
TBali_SA_So_09,76732,47703,28794
TBali_SA_So_10,80362,47701,27117
Ti_SA_Fr_01,62086,45849,39654
Ti_SA_Fr_02,90372,65007,55111
Ti_SA_Fr_03,110771,77969,60431
Ti_SA_Fr_04,57175,38374,32262
Ti_SA_Fr_05,54969,42033,36173
Ti_SA_Fr_06,50630,35281,26645
Ti_SA_Fr_07,58285,42740,35829
Ti_SA_Fr_08,68796,49821,37038
Ti_SA_Fr_09,70247,50759,41163
Ti_SA_Fr_10,71741,49776,40908
Ti_SA_Le_01,79198,54983,47991
Ti_SA_Le_02,126869,85473,70349
Ti_SA_Le_03,62974,44808,36915
Ti_SA_Le_04,76940,55356,42711
Ti_SA_Le_05,78553,58668,49024
Ti_SA_Le_06,72775,51949,43003
Ti_SA_Le_07,69070,48014,40368
Ti_SA_Le_08,78388,52807,36842
Ti_SA_Le_09,63390,46220,39518
Ti_SA_Le_10,123420,90138,59345
Ti_SA_Pn_01,80034,56308,46602
Ti_SA_Pn_02,73530,47612,37291
Ti_SA_Pn_03,74149,52646,43480
Ti_SA_Pn_04,70188,51349,40293
Ti_SA_Pn_05,77605,55031,43819
Ti_SA_Pn_06,72123,53422,44885
Ti_SA_Pn_07,102348,69735,51897
Ti_SA_Pn_08,64551,44034,37902
Ti_SA_Pn_09,66262,47323,40578
Ti_SA_Pn_10,83274,63657,51648
Ti_SA_So_01,82955,53898,20362
Ti_SA_So_02,102881,61169,25180
Ti_SA_So_03,104061,64625,27639
Ti_SA_So_04,60326,34212,11272
Ti_SA_So_05,89050,53329,19090
Ti_SA_So_06,89963,52409,18814
Ti_SA_So_07,112943,71792,27869
Ti_SA_So_08,116950,70177,27314
Ti_SA_So_09,115470,71799,27557
Ti_SA_So_10,87343,47632,20250
AA_CJ_Fr_01,56018,10822,9814
AA_CJ_Fr_02,61493,13856,10830
AA_CJ_Fr_03,48769,8204,5976
AA_CJ_Fr_04,65701,14376,11803
AA_CJ_Fr_05,86246,20232,14034
AA_CJ_Fr_06,96696,24594,17818
AA_CJ_Fr_07,73595,16670,12636
AA_CJ_Fr_08,58332,15865,11421
AA_CJ_Fr_09,88294,11448,10086
AA_CJ_Fr_10,64419,11197,8620
AA_CJ_Le_01,69408,18993,13732
AA_CJ_Le_02,60019,8614,7681
AA_CJ_Le_03,41130,6842,5563
AA_CJ_Le_04,47477,11514,9251
AA_CJ_Le_05,52682,2969,2779
AA_CJ_Le_06,55458,12582,9498
AA_CJ_Le_07,53371,9399,7187
AA_CJ_Le_08,45677,11815,8811
AA_CJ_Le_09,45051,10006,7472
AA_CJ_Le_10,43912,8319,6525
AA_CJ_Pn_01,71569,16477,12413
AA_CJ_Pn_02,76015,21371,14599
AA_CJ_Pn_03,70909,18607,11213
AA_CJ_Pn_04,60301,15418,10353
AA_CJ_Pn_05,71442,17231,12045
AA_CJ_Pn_06,78761,10166,7288
AA_CJ_Pn_07,71543,7699,5533
AA_CJ_Pn_08,61396,11434,9118
AA_CJ_Pn_09,62033,16260,11897
AA_CJ_Pn_10,63006,16369,11904
AA_CJ_So_01,104430,22785,5690
AA_CJ_So_02,107575,13926,2161
AA_CJ_So_03,105759,26308,5902
AA_CJ_So_04,104635,8132,1123
AA_CJ_So_05,107735,15424,3251
AA_CJ_So_06,89755,17790,3096
AA_CJ_So_07,88815,18461,2810
AA_CJ_So_08,90594,18957,3368
AA_CJ_So_09,92439,13668,2400
AA_CJ_So_10,89895,17735,3445
AA_Kran_Fr_01,72555,10576,8822
AA_Kran_Fr_02,63748,11728,8286
AA_Kran_Fr_03,96882,26069,19538
AA_Kran_Fr_04,69383,8294,6835
AA_Kran_Fr_05,79377,13979,11015
AA_Kran_Fr_06,82057,11352,9236
AA_Kran_Fr_07,55130,14453,10753
AA_Kran_Fr_08,48656,9248,7566
AA_Kran_Fr_09,66236,15749,11988
AA_Kran_Fr_10,59616,14591,12785
AA_Kran_Le_01,75227,17294,13106
AA_Kran_Le_02,82133,18658,14658
AA_Kran_Le_03,55087,12795,9459
AA_Kran_Le_04,47204,8883,7155
AA_Kran_Le_05,65846,12832,8983
AA_Kran_Le_06,63565,10009,8415
AA_Kran_Le_07,48216,8319,6818
AA_Kran_Le_08,50420,12228,9510
AA_Kran_Le_09,43349,6180,4931
AA_Kran_Le_10,48462,12516,9709
AA_Kran_Pn_01,71715,20173,15478
AA_Kran_Pn_02,56384,10755,8721
AA_Kran_Pn_03,64372,16910,9714
AA_Kran_Pn_04,95089,25974,19368
AA_Kran_Pn_05,83472,15463,10839
AA_Kran_Pn_06,86264,5051,3497
